Frame,X(cm),Y(cm)
0,8.31935,7.12953
1,8.24973,7.12953
2,8.24973,7.12953
3,8.21492,7.09668
4,8.21492,7.06382
5,8.18011,7.03097
6,8.18011,7.06382
7,8.14531,6.99811
8,8.14531,6.99811
9,8.21492,6.99811
10,8.21492,7.03097
11,8.18011,7.03097
12,8.21492,7.03097
13,8.24973,6.99811
14,8.24973,6.99811
15,8.21492,6.99811
16,8.18011,6.96526
17,8.1105,7.03097
18,8.18011,6.96526
19,8.1105,6.96526
20,8.1105,6.86669
21,8.07569,6.86669
22,8.07569,6.83384
23,8.1105,6.83384
24,8.04088,6.80098
25,8.04088,6.80098
26,8.04088,6.76813
27,7.97126,6.47243
28,8.00607,6.43958
29,8.07569,6.43958
30,8.04088,6.40672
31,8.04088,6.37387
32,8.1105,6.34101
33,8.1105,6.34101
34,8.1105,6.34101
35,8.07569,6.30816
36,8.07569,6.30816
37,8.1105,6.30816
38,7.79722,5.88104
39,7.79722,5.84819
40,7.79722,5.84819
41,7.79722,5.84819
42,7.76241,5.78248
43,7.7276,5.74962
44,7.7276,5.71677
45,7.69279,5.55249
46,7.62317,5.51964
47,7.58836,5.48678
48,7.58836,5.45393
49,7.55355,5.42107
50,7.55355,5.38822
51,7.51874,5.35536
52,7.51874,5.35536
53,7.51874,5.32251
54,7.44913,5.2568
55,7.41432,5.22394
56,7.37951,5.12538
57,7.27508,5.05967
58,7.24027,5.02681
59,7.20546,4.99396
60,7.17065,4.92825
61,7.20546,4.92825
62,7.17065,4.89539
63,7.13584,4.86254
64,7.13584,4.82968
65,7.10104,4.82968
66,7.10104,4.76397
67,7.06623,4.73112
68,7.06623,4.66541
69,7.03142,4.69826
70,6.99661,4.66541
71,6.92699,4.56684
72,6.99661,4.56684
73,6.99661,4.56684
74,6.9618,4.53399
75,6.9618,4.50113
76,6.92699,4.43542
77,6.92699,4.43542
78,6.89218,4.40257
79,6.85737,4.36971
80,6.85737,4.33686
81,6.85737,4.304
82,6.82256,4.304
83,6.82256,4.23829
84,6.78775,4.23829
85,6.78775,4.17258
86,6.75295,4.17258
87,6.75295,4.13973
88,6.71814,4.10687
89,6.71814,4.10687
90,6.71814,4.07402
91,6.71814,4.00831
92,6.71814,4.00831
93,6.71814,3.9426
94,6.68333,3.9426
95,6.71814,3.90974
96,6.68333,3.84403
97,6.68333,3.84403
98,6.64852,3.77832
99,6.64852,3.77832
100,6.61371,3.74547
101,6.61371,3.71261
102,6.5789,3.71261
103,6.54409,3.67976
104,6.54409,3.6469
105,6.50928,3.61405
106,6.50928,3.58119
107,6.47447,3.54834
108,6.43966,3.51548
109,6.43966,3.48263
110,6.43966,3.48263
111,6.47447,3.41692
112,6.47447,3.38406
113,6.50928,3.35121
114,6.47447,3.18693
115,6.54409,3.12122
116,6.64852,3.08837
117,6.75295,2.95695
118,6.85737,2.95695
119,6.89218,2.95695
120,6.9618,2.95695
121,7.03142,2.92409
122,7.10104,2.89124
123,7.17065,2.89124
124,7.24027,2.85838
125,7.27508,2.85838
126,7.30989,2.85838
127,7.37951,2.82553
128,7.41432,2.79267
129,7.48393,2.79267
130,7.48393,2.79267
131,7.51874,2.75982
132,7.58836,2.75982
133,7.62317,2.79267
134,7.69279,2.79267
135,7.79722,2.79267
136,8.07569,2.75982
137,8.04088,2.92409
138,8.24973,3.02266
139,8.18011,3.05551
140,8.28454,3.12122
141,8.28454,3.15408
142,8.66744,3.21979
143,8.45859,3.25264
144,8.87629,3.21979
145,8.63263,3.31835
146,8.73706,3.41692
147,8.66744,3.44977
148,8.9111,3.41692
149,8.9111,3.35121
150,9.08515,3.44977
151,9.25919,3.48263
152,9.08515,3.21979
153,9.22438,3.18693
154,9.25919,3.18693
155,9.43324,3.21979
156,9.50286,3.35121
157,9.60728,3.2855
158,9.57247,3.35121
159,9.6769,3.38406
160,9.71171,3.48263
161,9.85095,3.48263
162,9.95537,3.61405
163,9.95537,3.6469
164,10.0946,3.77832
165,10.199,3.81118
166,10.4775,3.84403
167,10.4775,3.9426
168,10.5471,3.90974
169,10.6516,3.90974
170,10.7908,4.04116
171,10.9996,4.10687
172,10.9996,4.00831
173,11.1389,4.13973
174,11.2433,4.17258
175,11.2781,4.17258
176,11.4174,4.17258
177,11.487,4.27115
178,11.661,4.43542
179,11.7654,4.50113
180,11.9743,4.73112
181,11.9743,4.82968
182,12.1831,4.92825
183,12.218,4.9611
184,12.3224,5.05967
185,12.4268,5.09252
186,12.6009,5.15823
187,12.5312,5.2568
188,12.8097,5.32251
189,12.8793,5.2568
190,13.0186,5.38822
191,13.0534,5.32251
192,13.2274,5.42107
193,13.2622,5.45393
194,13.3667,5.51964
195,13.4015,5.58535
196,13.6103,5.68391
197,13.5407,5.81533
198,13.6103,5.74962
199,13.8192,5.88104
200,13.8888,5.97961
201,13.9584,6.01246
202,14.0628,6.07817
203,14.1673,6.11103
204,14.3413,6.14388
205,14.3761,6.14388
206,14.4805,6.17674
207,14.5502,6.20959
208,14.7242,6.24245
209,14.7938,6.2753
210,14.8286,6.34101
211,14.9679,6.43958
212,15.1419,6.60385
213,15.2463,6.73527
214,15.2812,6.76813
215,15.4552,6.86669
216,15.49,6.9324
217,15.5944,6.9324
218,15.8033,6.96526
219,15.9773,6.96526
220,16.1166,6.96526
221,16.2558,6.99811
222,16.4298,7.03097
223,16.5691,7.06382
224,16.7779,7.09668
225,16.952,7.16239
226,17.1608,7.26095
227,17.2653,7.32666
228,17.3697,7.39237
229,17.5437,7.42523
230,17.683,7.52379
231,17.8222,7.55665
232,17.9614,7.55665
233,18.1355,7.55665
234,18.3095,7.5895
235,18.5184,7.55665
236,18.588,7.5895
237,18.7969,7.62236
238,18.9361,7.65521
239,19.0753,7.72092
240,19.2494,7.78663
241,19.3538,7.81949
242,19.5278,7.8852
243,19.493,7.98376
244,19.6671,8.01662
245,19.8063,8.08233
246,19.9804,8.11518
247,20.3633,8.11518
248,20.5373,8.14804
249,20.4677,8.18089
250,20.6765,8.18089
251,20.8158,8.21375
252,20.955,8.31231
253,21.1639,8.41088
254,21.2335,8.50944
255,21.5468,8.57515
256,21.5816,8.67372
257,21.8601,8.67372
258,22.0689,8.70657
259,22.2778,8.70657
260,22.417,8.60801
261,22.4518,8.70657
262,22.6955,8.73943
263,22.9043,8.80514
264,23.0436,8.87085
265,23.2176,8.93656
266,23.6005,8.93656
267,23.6701,8.87085
268,23.879,8.83799
269,24.2967,8.80514
270,24.2967,8.80514
271,24.61,8.77228
272,24.8884,8.80514
273,24.9581,8.9037
274,25.2017,8.87085
275,25.4454,8.9037
276,25.7935,8.87085
277,25.9327,8.83799
278,26.1416,8.80514
279,26.3504,8.80514
280,26.5593,8.80514
281,26.6985,8.83799
282,26.9074,8.83799
283,27.0814,8.83799
284,27.2206,8.83799
285,27.4295,8.80514
286,27.5687,8.73943
287,27.7428,8.70657
288,27.882,8.60801
289,28.0909,8.57515
290,28.2649,8.5423
291,28.439,8.5423
292,28.613,8.50944
293,28.7522,8.50944
294,28.8915,8.47659
295,29.0307,8.41088
296,29.1351,8.34517
297,29.344,8.34517
298,29.518,8.27946
299,29.6573,8.21375
300,29.7965,8.18089
301,29.9357,8.14804
302,30.1098,8.14804
303,30.249,8.14804
304,30.4231,8.08233
305,30.5623,8.11518
306,30.7015,8.04947
307,30.8408,8.04947
308,30.9452,7.98376
309,31.1192,7.91805
310,31.2585,7.78663
311,31.4673,7.72092
312,31.6066,7.65521
313,31.711,7.62236
314,31.885,7.5895
315,32.0591,7.55665
316,32.1983,7.55665
317,32.3724,7.52379
318,32.5464,7.52379
319,32.6508,7.52379
320,32.7901,7.52379
321,32.9989,7.45808
322,33.1382,7.42523
323,33.2774,7.39237
324,33.4514,7.32666
325,33.5907,7.19524
326,33.7299,7.12953
327,33.904,7.09668
328,34.0432,7.03097
329,34.1824,6.99811
330,34.3217,6.99811
331,34.5305,6.96526
332,34.635,6.96526
333,34.809,6.96526
334,34.9134,6.9324
335,35.1571,6.96526
336,35.2615,6.9324
337,35.4008,6.89955
338,35.5748,6.86669
339,35.7488,6.89955
340,35.9229,6.86669
